use_case,module,title,scientific_question,primary_inputs,data_inputs_summary,support_tier,decision_support_role,relevance_to_aliphatic,relevance_to_polyaromatic,relevance_to_metal_constraint,recommended_for_report,priority_rank,source_path
UC 3.5,Module 3,UC-3.5 â€” Sample Similarity (Based on Chemical Profiles),"How similar are the samples to one another, based on the shared repertoire of chemical compounds they are co-annotated with?",BioRemPP results table with `sample` and `compoundname` columns,"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `compoundname` â€“ name (or identifier) of the chemical compound associated with the sample - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Derived structure:** binary presence/absence matrix with: - rows = samples - columns = unique compound names - cell = `1` if the sample is associated with that compound, `0` otherwise",Strong support,"Mede similaridade entre amostras por compostos, diretamente alinhado a perfis de cobertura do UC 8.1.",Alta: valida se membros alifaticos cobrem perfis quimicos distintos.,Alta: valida se membros poliaromaticos cobrem perfis quimicos distintos.,Media: compara diversidade quimica dentro/fora do universo Metal.,TRUE,10,docs\use_cases\module3\uc_3.5.md
UC 4.6,Module 4,UC-4.6 â€” Functional Potential by Chemical Compound,"For a given class of chemical compounds, which samples have the highest KO annotation diversity co-annotated with specific compounds?","`BioRemPP_Results.xlsx or BioRemPP_Results.csv` (sampleâ€“compoundâ€“KO associations, with chemical class)","- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `compoundclass` â€“ chemical class for each compound - `compoundname` â€“ individual compound names - `ko` â€“ KEGG Orthology identifier(s) associated with each sampleâ€“compound interaction - **User control:** - A **dropdown menu** to select the **Compound Class** (`compoundclass`) to be analyzed. - **Output structure:** - **X-axis:** samples - **Y-axis:** compounds (within the selected class) - **Point size/color:** unique KO count for each `(sample, compound)` pair (functional potential)",Strong support,"Avalia potencial funcional por composto e classe, conectando diretamente candidatos aos compostos de Aliphatic/Polyaromatic.",Alta: evidencia KO por composto alifatico.,Alta: evidencia KO por composto poliaromatico.,Media: pode comparar compostos Metal como restricao secundaria.,TRUE,11,docs\use_cases\module4\uc_4.6.md
UC 4.9,Module 4,UC-4.9 â€” Profiling of Sample Enzymatic Activity,"For any given sample, which enzymatic functions are most broadly represented, as measured by the diversity of unique gene annotations associated with them?",`BioRemPP_Results.xlsx or BioRemPP_Results.csv` (sampleâ€“enzymeâ€“gene associations),"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `enzyme_activity` â€“ functional label for enzymatic activity (e.g., *oxidoreductase*, *transferase*) - `genesymbol` â€“ gene symbols mapped to that enzymatic activity in a given sample - **User control:** - **Dropdown â€“ Sample:** all unique `sample` identifiers available in the dataset. - **Output structure:** - **X-axis:** enzymatic activities (`enzyme_activity`) - **Y-axis:** number of distinct `genesymbol` values per activity for the selected sample - **Bars:** one bar per enzymatic activity, ranked by gene diversity",Strong support,Perfil de atividades enzimaticas por amostra; reforca plausibilidade funcional dos membros escolhidos.,Alta: verifica atividades enzimas associadas a hidrocarbonetos alifaticos.,Alta: verifica atividades enzimas associadas a compostos aromaticos/poliaromaticos.,Media.,TRUE,12,docs\use_cases\module4\uc_4.9.md
UC 4.10,Module 4,UC-4.10 â€” Diversity of Enzymatic Activities Across Samples,Which enzymatic functions in which samples have the greatest diversity of unique gene annotations?,`BioRemPP_Results.xlsx or BioRemPP_Results.csv` (sampleâ€“enzymeâ€“gene associations),"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `enzyme_activity` â€“ enzymatic function label (e.g., *oxidoreductase*, *hydrolase*) - `genesymbol` â€“ gene symbols assigned to that enzymatic activity in each sample - **Pre-processing rules:** - Remove rows with invalid or placeholder `enzyme_activity` labels (e.g., `#N/D`) - Remove rows with missing `sample`, `enzyme_activity`, or `genesymbol` - **Output structure:** - **X-axis:** enzymatic activities - **Y-axis:** samples - **Bubbles:** one bubble per `(sample, enzyme_activity)` pair, sized and colored by gene diversity",Strong support,"Diversity de atividades enzimaticas por amostra, apoiando escolha de representantes com maior variedade funcional.",Alta.,Alta.,Media.,TRUE,13,docs\use_cases\module4\uc_4.10.md
UC 5.1,Module 5,UC-5.1 â€” Sample-Compound Class Interaction,"Which samples are most co-annotated with which chemical classes, and what might this reveal about their annotation coverage patterns?",BioRemPP results table with `sample` and `compoundclass` columns,- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `compoundclass` â€“ categorical label for the chemical class of each compound - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Derived structure:** interaction matrix with: - rows = samples - columns = compound classes - cell = interaction count for each sampleâ€“class pair,Strong support,"Matriz amostra x classe quimica, diretamente util para mostrar associacao dos candidatos com Aliphatic, Polyaromatic e Metal.",Alta.,Alta.,Alta.,TRUE,14,docs\use_cases\module5\uc_5.1.md
UC 5.2,Module 5,UC-5.2 â€” Sample Similarity (Based on Chemical Profiles),"How similar are the samples to one another in their compound co-annotation profiles, and what is the structure of these annotation-based sample groups?",BioRemPP results table with `sample` and `compoundname` columns,- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `compoundname` â€“ name (or identifier) of the chemical compound associated with that sample - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Derived structures:** - a mapping from each sample to its set of unique compounds - a pairwise similarity table where each entry is the count of shared compounds between two samples,Strong support,"Similaridade por perfil quimico, alternativa/confirmacao ao UC 3.5 para avaliar redundancia quimica.",Alta.,Alta.,Media.,TRUE,15,docs\use_cases\module5\uc_5.2.md
UC 7.3,Module 7,UC-7.3 â€” Mapping of Genetic Response to High-Priority Threats,"For a given high-level toxicological category (e.g., Genomic Toxicity), which samples have the most diverse KO annotations co-annotated with the associated high-priority compounds?",`BioRemPP_Results.xlsx or BioRemPP_Results.csv` (sampleâ€“compoundâ€“gene associations) and `ToxCSM.xlsx or ToxCSM.csv` (predicted toxicity per compound and endpoint),"- **Primary data sources:** - `BioRemPP_Results.xlsx or BioRemPP_Results.csv` â€“ KO annotations linking samples, compounds, and genes - `ToxCSM.xlsx or ToxCSM.csv` â€“ predicted toxicity scores and labels for compounds across multiple endpoints - **Key columns:** - From `ToxCSM.xlsx or ToxCSM.csv`: - `compoundname` â€“ name of the chemical compound - `endpoint` / `label_*` â€“ toxicity endpoints and their qualitative labels (e.g., ""High Toxicity"") - `supercategory` (derived) â€“ toxicological super-category (e.g., Genomic, Environmental, Organic) - From `BioRemPP_Results.xlsx or BioRemPP_Results.csv`: - `sample` â€“ identifier for each biological sample - `compoundname` â€“ compound associated with the interaction - `genesymbol` â€“ gene symbol or identifier - **Entities of interest:** - **High-Risk Compounds** within a chosen toxicological super-category - **Samples** and their associa",Strong support,"Mapeia resposta genetica a compostos de alto risco, priorizando candidatos com KOs ligados a ameaças toxicologicas.",Media a alta.,Alta.,Alta.,TRUE,16,docs\use_cases\module7\uc_7.3.md
UC 2.1,Module 2,UC-2.1 â€” Ranking of Sample Functional Richness Across Databases,"How does the ranking of functional richness for each sample change when viewed through the lens of different annotation databases (BioRemPP, HADEG, KEGG)?","BioRemPP, HADEG, and KEGG results tables with sample-level KO annotations",- **Primary data sources:** - BioRemPP results table - HADEG results table - KEGG results table - **Key columns (per selected database):** - `sample` â€“ identifier for each biological sample - `ko` or `Gene` â€“ KEGG Orthology identifier (or equivalent column used to store KO IDs) - **Accepted format:** semicolon-delimited text tables (`.txt` or `.csv`) - **Entity of interest:** unique KO identifiers counted per sample for the selected database,Strong support,"Compara riqueza funcional dos candidatos entre BioRemPP, HADEG e KEGG; bom reforco para escolher representantes com suporte multi-banco.",Alta: qualifica candidatos do consorcio alifatico por riqueza funcional.,Alta: qualifica candidatos do consorcio poliaromatico por riqueza funcional.,Media: testa se candidatos da imagem Metal sao funcionalmente ricos em bancos distintos.,TRUE,17,docs\use_cases\module2\uc_2.1.md
UC 2.2,Module 2,UC-2.2 â€” Ranking of Samples by Chemical Diversity,Which biological samples are co-annotated with the widest variety of unique chemical compounds?,BioRemPP results table with `sample` and `compoundname` columns,- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `compoundname` â€“ name of the chemical compound associated with that sample - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Entity of interest:** unique compound names associated with each sample,Strong support,"Ranqueia amostras por diversidade quimica, reforcando se candidatos cobrem amplo espectro de compostos.",Alta: contextualiza cobertura ampla para compostos alifaticos.,Alta: contextualiza cobertura ampla para compostos poliaromaticos.,Media: avalia se universo Metal contem candidatos quimicamente diversos.,TRUE,18,docs\use_cases\module2\uc_2.2.md
UC 6.5,Module 6,UC-6.5 â€” Chemicalâ€“Enzymatic Hierarchy,"For each class of chemical compounds, which enzymatic functions are most frequently co-annotated, and which specific genes show the broadest compound co-annotation coverage within that class?","BioRemPP results table with `compoundclass`, `enzyme_activity`, `genesymbol`, and `compoundname`",- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `compoundclass` â€“ high-level chemical class or category - `enzyme_activity` â€“ functional label for the enzymatic activity - `genesymbol` â€“ gene symbol or identifier associated with that activity - `compoundname` â€“ specific compound name or identifier - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Hierarchical structure:** 1. **Compound Class** (`compoundclass`) 2. **Enzyme Activity** (`enzyme_activity`) 3. **Gene Symbol** (`genesymbol`),Complementary support,"Hierarquia quimico-enzimatica por classe, atividade e genes; bom suporte mecanistico agregado.",Alta.,Alta.,Media.,TRUE,19,docs\use_cases\module6\uc_6.5.md
UC 6.2,Module 6,UC-6.2 â€” Biological Interaction Flow,"How are sample co-annotations distributed across different chemical classes, and which enzymatic activities are most frequently co-annotated with each?","BioRemPP results table with `sample`, `compoundclass`, and `enzyme_activity`","- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `compoundclass` â€“ chemical class/category of the compound - `enzyme_activity` â€“ functional label for the enzymatic activity (e.g., monooxygenase, dehydrogenase) - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Conceptual flow (stages):** 1. **Sample** (`sample`) 2. **Compound Class** (`compoundclass`) 3. **Enzyme Activity** (`enzyme_activity`)",Complementary support,"Fluxo amostra -> classe -> atividade enzimatica, alinhado ao racional funcional dos consorcios.",Alta.,Alta.,Media.,TRUE,20,docs\use_cases\module6\uc_6.2.md
UC 4.13,Module 4,UC-4.13 â€” Genetic Profile by Compound Class,"For a given class of degradation pathways (e.g., *Alkanes*), which genes are annotated in which samples, and how diverse is their KO annotation?",`HADEG_Results.xlsx or HADEG_Results.csv` (sampleâ€“KOâ€“Geneâ€“compound_pathway),"- **Primary data source:** `HADEG_Results.xlsx or HADEG_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier of the analyzed biological sample - `Gene` â€“ gene identifier used in the HADEG mapping - `ko` â€“ KEGG Orthology identifier linked to the gene - `compound_pathway` â€“ broader degradation pathway / compound class (e.g., *Alkanes*, *Aromatics*) - **Pre-processing rules:** - Discard rows with missing `sample`, `Gene`, `ko`, or `compound_pathway` - Optionally standardize string fields (trim, case normalization) to avoid artificial duplicates - **Output structure:** - 2D matrix for a **selected compound_pathway**: - Rows: `Gene` - Columns: `sample` - Cell value: count of **unique KOs** per geneâ€“sample pair",Complementary support,"Perfil genetico por classe de degradacao HADEG, especialmente util para Alkanes/Aromatics.",Alta se mapeado para Alkanes.,Alta se mapeado para Aromatics.,Baixa.,TRUE,21,docs\use_cases\module4\uc_4.13.md
UC 3.3,Module 3,UC-3.3 â€” Hierarchical Clustering of Samples by Functional Profile,"How do samples group together in a hierarchical structure based on the similarity of their KO annotation profiles, and how do different clustering algorithms and distance metrics affect these relationships?",BioRemPP results table with `sample` and `ko` columns,"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `ko` â€“ KEGG Orthology identifier associated with the sample - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Derived structure:** binary presence/absence matrix with: - rows = samples - columns = unique KOs - cell = 1 if the sample has that KO, 0 otherwise",Complementary support,"Clustering hierarquico por perfil KO, reforcando analise de redundancia ou distancia funcional entre membros.",Media.,Media.,Media.,TRUE,22,docs\use_cases\module3\uc_3.3.md
UC 3.2,Module 3,UC-3.2 â€” Principal Component Analysis of Samples by Chemical Profile,"How do the samples cluster or separate based on their compound co-annotation profiles (the compounds they are co-annotated with), and which samples have the most similar or distinct compound annotation patterns?",BioRemPP results table with `sample` and `cpd` (compound) columns,"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `cpd` â€“ identifier or name of the chemical compound associated with that sample - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Derived structure:** binary presence/absence matrix with: - rows = samples - columns = unique compounds (`cpd`) - cell = `1` if the sample is associated with the compound, `0` otherwise",Complementary support,"PCA por perfil quimico, util para avaliar separacao dos candidatos conforme compostos co-anotados.",Media.,Media.,Media.,TRUE,23,docs\use_cases\module3\uc_3.2.md
UC 3.1,Module 3,UC-3.1 â€” Principal Component Analysis of Samples by Functional Profile,"How do the samples cluster or separate based on their overall KO annotation profiles, and which samples are the most similar or distinct in their KO annotation patterns?",BioRemPP results table with `sample` and `ko` columns,"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `ko` â€“ KEGG Orthology identifier associated with the sample - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Derived structure:** binary presence/absence matrix with: - rows = samples - columns = unique KOs - cell = 1 if the sample has the KO, 0 otherwise",Complementary support,"PCA por perfil funcional, util para ver se candidatos selecionados ocupam espacos funcionais distintos.",Media.,Media.,Media.,TRUE,24,docs\use_cases\module3\uc_3.1.md
UC 2.3,Module 2,UC-2.3 â€” Ranking of Compound Richness by Sample per Chemical Class,"Within a specific chemical class, which compounds are co-annotated with the widest range of biological samples in the dataset, and what hypotheses might this pattern suggest about shared functional potential?","BioRemPP results table with `sample`, `compoundclass`, and `compoundname` columns","- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `compoundclass` â€“ categorical label defining the chemical class (e.g., Aromatics, Chlorinated, Alkanes) - `compoundname` â€“ name of the chemical compound - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Entities of interest:** compounds, grouped by chemical class, with counts of unique co-annotated samples",Complementary support,"Identifica compostos mais compartilhados por classe, ajudando a separar compostos comuns de compostos que exigem membros especificos.",Alta.,Alta.,Baixa.,TRUE,25,docs\use_cases\module2\uc_2.3.md
UC 2.4,Module 2,UC-2.4 â€” Ranking of Compounds Richness by Gene Count per Chemical Classes,"Within a specific chemical class, which compounds are associated with the greatest diversity of unique genes in the dataset, and what hypotheses might this pattern suggest about the involvement of varied enzymatic functions?","BioRemPP results table with `compoundclass`, `compoundname`, and `genesymbol` columns","- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `compoundclass` â€“ categorical label defining the chemical class (e.g., Aromatics, Aliphatics, Chlorinated) - `compoundname` â€“ name of the chemical compound - `genesymbol` â€“ gene symbol or identifier associated with the interaction - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Entities of interest:** compounds, grouped by chemical class, with counts of unique associated genes",Complementary support,"Ranqueia compostos por diversidade de genes, apoiando a priorizacao de compostos com maior complexidade funcional.",Media.,Media.,Baixa.,TRUE,26,docs\use_cases\module2\uc_2.4.md
UC 1.5,Module 1,UC-1.5 â€” Regulatory Reference Compliance Scorecard,"To what extent does the annotated compound repertoire of each biological sample overlap with the compound lists of different regulatory agencies, as measured by the percentage of monitored compounds co-annotated in each sample?","BioRemPP results table with `sample`, `referenceAG`, and `compoundname` columns","- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `referenceAG` â€“ identifier for the regulatory or scientific agency (e.g., WFD, CONAMA, EPC) - `compoundname` â€“ name of the chemical compound associated with the interaction - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Entities of interest:** - **Samples:** biological sources with co-annotated compounds in the dataset - **Regulatory agencies:** references defining sets of monitored or priority compounds",Complementary support,"Avalia sobreposicao entre repertorio de compostos das amostras e agencias regulatorias, adicionando relevancia regulatoria a escolha.",Media: indica se compostos alifaticos cobertos tambem tem relevancia regulatoria.,Media: indica se compostos poliaromaticos cobertos tambem tem relevancia regulatoria.,Media: pode reforcar o peso regulatorio dos compostos Metal.,TRUE,27,docs\use_cases\module1\uc_1.5.md
